TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,ChunkID
1457074843,0,36.27668405,0.921041435,0,3,41.276618,0
1457074846,2.145941019,0,2.567247996,0.134495992,1,2.853935003,1
1457074851,2.440539837,0,2.567247996,0.134495992,1,4.705280066,2
1457074851,7.195998907,0,2.567247996,0.134495992,1,0.244436979,3
1457074890,0,27.20124602,1.292111925,0,4,39.39710498,4
1457074891,4.180251837,0,2.567247996,0.134495992,1,0.819555998,5
1457074922,0,21.49483609,1.11892803,0,3,30.67497802,6
1457074928,0,1.537539005,1.55472036,0.063806102,1,6.537415981,7
1457074937,0,3.412335873,1.125254908,0.040701549,1,8.412117958,8
1457074946,0,4.261911154,0.998399844,0.03387695,1,9.261800051,9
1457074950,1.485108137,0,2.567247996,0.134495992,1,3.514740944,10
1457074956,0.309700012,0,2.567247996,0.134495992,1,6.175292969,11
1457074963,0,2.362040997,1.330380517,0.051736978,1,7.671631098,12
1457074967,0.959788084,0,2.567247996,0.134495992,1,4.040078878,13
1457074972,1.222975969,0,2.567247996,0.134495992,1,4.736697197,14
1457074976,2.035739183,0,2.567247996,0.134495992,1,4.18709898,15
1457074983,0.673743963,0,2.567247996,0.134495992,1,6.361883163,16
1457074988,0.149595976,0,2.567247996,0.134495992,1,5.52403307,17
1457074993,0.119917154,0,2.567247996,0.134495992,1,5.029577017,18
1457074999,0,0.822160959,1.838126855,0.079052917,1,5.941972017,19
1457075006,0,1.496969938,1.567974081,0.064519131,1,6.496778011,20
1457075013,0,2.421849012,1.316737284,0.051002994,1,7.421724081,21
1457075014,4.080910921,0,2.567247996,0.134495992,1,0.918959141,22
1457075050,0,26.34096694,0.643374192,0,2,35.42176604,23
1457075061,0,6.450757027,0.762523908,0.021187203,1,11.45063901,24
1457075069,0,3.45384407,1.118389077,0.040332178,1,8.453690052,25
1457075076,0,1.094829082,1.715687175,0.072465858,1,6.094696045,26
1457075088,0,7.299203873,0.693588138,0.017478569,1,12.299088,27
1457075098,0,5.417499065,0.861290698,0.026500698,1,10.417346,28
1457075103,0.03451395,0,2.567247996,0.134495992,1,4.965368032,29
1457075103,5.016986132,0,2.567247996,0.134495992,1,0.017419815,30
1457075103,9.921998024,0,4.999953606,4.999907212,9,0.094892979,31
1457075103,14.80412412,0,4.999953606,4.999907212,9,0.117769003,32
1457075104,19.68992496,0,4.999953606,4.999907212,9,0.114096165,33
1457075104,24.62499309,0,4.999953606,4.999907212,9,0.064811945,34
1457075104,29.47035408,0,4.999953606,4.999907212,9,0.154516935,35
1457075108,29.93651509,0,4.999953606,4.999907212,9,0.058660984,36
1457075113,29.94455314,0,4.999953606,4.999907212,9,0.050259829,37
1457075118,29.94752598,0,4.999953606,4.999907212,9,0.049819946,38
1457075123,29.95209193,0,4.999953606,4.999907212,9,0.042697191,39
1457075128,29.95315599,0,4.999953606,4.999907212,9,0.04163003,40
1457075133,29.94712615,0,4.999953606,4.999907212,9,0.047681808,41
1457075138,29.92723894,0,4.999953606,4.999907212,9,0.06755209,42
1457075143,29.95662498,0,4.999953606,4.999907212,9,0.038161039,43
1457075148,29.95866799,0,4.999953606,4.999907212,9,0.036139011,44
1457075153,29.93316102,0,4.999953606,4.999907212,9,0.061650991,45
1457075158,29.96293712,0,4.999953606,4.999907212,9,0.031909943,46
1457075163,29.95699406,0,4.999953606,4.999907212,9,0.03777194,47
1457075168,29.90235901,0,4.999953606,4.999907212,9,0.092401981,48
1457075173,29.93409801,0,4.999953606,4.999907212,9,0.06072402,49
1457075178,29.95181108,0,4.999953606,4.999907212,9,0.043016911,50
1457075183,29.94238901,0,4.999953606,4.999907212,9,0.05240798,51
1457075188,29.94594097,0,4.999953606,4.999907212,9,0.048877001,52
1457075193,29.94661713,0,4.999953606,4.999907212,9,0.048192978,53
1457075198,29.9229331,0,4.999953606,4.999907212,9,0.071691036,54
1457075203,29.94233012,0,4.999953606,4.999907212,9,0.05250597,55
1457075208,29.93875813,0,4.999953606,4.999907212,9,0.056049824,56
1457075213,29.97710204,0,4.999953606,4.999907212,9,0.01778698,57
1457075218,29.96016502,0,4.999953606,4.999907212,9,0.034661055,58
1457075223,29.96560216,0,4.999953606,4.999907212,9,0.0292449,59
1457075228,29.79304314,0,4.999953606,4.999907212,9,0.201804876,60
1457075233,29.96372199,0,4.999953606,4.999907212,9,0.031295061,61
1457075238,29.95842814,0,4.999953606,4.999907212,9,0.036414862,62
1457075243,29.95803905,0,4.999953606,4.999907212,9,0.036802053,63
1457075248,29.953794,0,4.999953606,4.999907212,9,0.041056156,64
1457075253,29.9504621,0,4.999953606,4.999907212,9,0.044401884,65
1457075258,29.96791911,0,4.999953606,4.999907212,9,0.026821852,66
1457075263,29.96707797,0,4.999953606,4.999907212,9,0.027678967,67
1457075268,29.94610214,0,4.999953606,4.999907212,9,0.048682928,68
1457075273,29.91987109,0,4.999953606,4.999907212,9,0.074923992,69
1457075278,29.93360996,0,4.999953606,4.999907212,9,0.061199188,70
1457075283,29.92876315,0,4.999953606,4.999907212,9,0.066082954,71
1457075288,29.94887996,0,4.999953606,4.999907212,9,0.045894146,72
1457075293,29.93650293,0,4.999953606,4.999907212,9,0.058284044,73
1457075298,29.96450996,0,4.999953606,4.999907212,9,0.030296087,74
1457075303,29.96284604,0,4.999953606,4.999907212,9,0.031932116,75
1457075308,29.97151709,0,4.999953606,4.999907212,9,0.023267031,76
1457075313,29.978585,0,4.999953606,4.999907212,9,0.016199112,77
1457075318,29.97103214,0,4.999953606,4.999907212,9,0.023769855,78
1457075323,29.96494102,0,4.999953606,4.999907212,9,0.029864073,79
1457075328,29.970294,0,4.999953606,4.999907212,9,0.024497032,80
1457075333,29.96604013,0,4.999953606,4.999907212,9,0.02876997,81
1457075338,29.9599371,0,4.999953606,4.999907212,9,0.034852028,82
1457075343,29.95603299,0,4.999953606,4.999907212,9,0.038720131,83
1457075348,29.88056016,0,4.999953606,4.999907212,9,0.114216805,84
1457075353,29.92561102,0,4.999953606,4.999907212,9,0.069068909,85
