TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,ChunkID
1457074816,0,8.265191078,0.625360775,0.013808046,1,13.26513505,0
1457074825,0,3.938499928,1.04354096,0.03630547,1,8.938372135,1
1457074837,0,7.365836859,0.688558916,0.017208005,1,12.36573792,2
1457074842,0,0.14499402,2.317795158,0.104858303,1,5.144861937,3
1457074846,1.356578827,0,2.567247996,0.134495992,1,3.643323183,4
1457074851,1.414049864,0,2.567247996,0.134495992,1,4.942405939,5
1457074857,0.442339897,0,2.567247996,0.134495992,1,5.971563101,6
1457074861,1.335472822,0,2.567247996,0.134495992,1,4.10674119,7
1457074871,0,3.192519188,1.162961788,0.042730119,1,9.527902126,8
1457074881,0,5.512883902,0.851360766,0.025966483,1,10.51277804,9
1457074889,0,3.249644041,1.152937296,0.042190817,1,8.249417067,10
1457074890,3.970186949,0,2.567247996,0.134495992,1,1.029669046,11
1457074890,8.962542057,0,2.567247996,0.134495992,1,0.007539988,12
1457074972,0,67.88573194,2.212965088,0,9,81.84817886,13
1457074974,3.167281866,0,2.567247996,0.134495992,1,1.832585096,14
1457074995,0,12.84283304,0.39577258,0,1,21.010005,15
1457075001,0,0.520294905,2.00690586,0.088132957,1,5.520177841,16
1457075006,0,0.077970982,2.403136837,0.109449548,1,5.077837944,17
1457075006,4.480264902,0,2.567247996,0.134495992,1,0.519598961,18
1457075014,1.573190928,0,3.132872367,1.265744734,2,7.906975985,19
1457075014,6.562644958,0,2.567247996,0.134495992,1,0.010304928,20
1457075102,0,76.63499403,2.184204336,0,9,88.19753098,21
1457075102,4.993975878,0,2.567247996,0.134495992,1,0.005800962,22
1457075102,9.910284042,0,4.999953606,4.999907212,9,0.083525896,23
1457075102,14.85167789,0,4.999953606,4.999907212,9,0.058411121,24
1457075102,19.80938601,0,4.999953606,4.999907212,9,0.042164803,25
1457075103,24.73648596,0,4.999953606,4.999907212,9,0.072711945,26
1457075103,29.62062097,0,4.999953606,4.999907212,9,0.115735054,27
1457075107,29.95269203,0,4.999953606,4.999907212,9,0.042418957,28
1457075112,29.95293689,0,4.999953606,4.999907212,9,0.041789055,29
1457075117,29.94307399,0,4.999953606,4.999907212,9,0.05171895,30
1457075122,29.96426892,0,4.999953606,4.999907212,9,0.030532122,31
1457075127,29.94239283,0,4.999953606,4.999907212,9,0.052381992,32
1457075132,29.95079684,0,4.999953606,4.999907212,9,0.043936014,33
1457075137,29.97298598,0,4.999953606,4.999907212,9,0.021790028,34
1457075142,29.94444203,0,4.999953606,4.999907212,9,0.05030179,35
1457075147,29.94887495,0,4.999953606,4.999907212,9,0.045850992,36
1457075152,29.94022894,0,4.999953606,4.999907212,9,0.054554939,37
1457075157,29.95507598,0,4.999953606,4.999907212,9,0.039698839,38
1457075162,29.96048903,0,4.999953606,4.999907212,9,0.034292936,39
1457075167,29.96081591,0,4.999953606,4.999907212,9,0.033952951,40
1457075172,29.95857501,0,4.999953606,4.999907212,9,0.036252022,41
1457075177,29.93788505,0,4.999953606,4.999907212,9,0.056914806,42
1457075182,29.96193385,0,4.999953606,4.999907212,9,0.032788992,43
1457075187,29.95602798,0,4.999953606,4.999907212,9,0.038753033,44
1457075192,29.9440279,0,4.999953606,4.999907212,9,0.05074501,45
1457075197,29.95812392,0,4.999953606,4.999907212,9,0.036648989,46
1457075202,29.96381783,0,4.999953606,4.999907212,9,0.030883074,47
1457075207,29.92999101,0,4.999953606,4.999907212,9,0.064785957,48
1457075212,29.94142389,0,4.999953606,4.999907212,9,0.053374052,49
1457075217,29.95926189,0,4.999953606,4.999907212,9,0.03553915,50
1457075222,29.95432496,0,4.999953606,4.999907212,9,0.040427923,51
1457075227,29.96157694,0,4.999953606,4.999907212,9,0.033224106,52
1457075232,29.96094489,0,4.999953606,4.999907212,9,0.033877134,53
1457075237,29.93947601,0,4.999953606,4.999907212,9,0.055284023,54
1457075242,29.9500289,0,4.999953606,4.999907212,9,0.044765949,55
1457075247,29.95359683,0,4.999953606,4.999907212,9,0.041212082,56
1457075252,29.96866703,0,4.999953606,4.999907212,9,0.026039839,57
1457075257,29.96194601,0,4.999953606,4.999907212,9,0.032778978,58
1457075262,29.96451783,0,4.999953606,4.999907212,9,0.030225039,59
1457075267,29.87774396,0,4.999953606,4.999907212,9,0.116993904,60
1457075272,29.95147681,0,4.999953606,4.999907212,9,0.043386221,61
1457075277,29.95129991,0,4.999953606,4.999907212,9,0.04349494,62
1457075282,29.95308089,0,4.999953606,4.999907212,9,0.041749001,63
1457075287,29.951406,0,4.999953606,4.999907212,9,0.043371916,64
1457075292,29.9468329,0,4.999953606,4.999907212,9,0.047935963,65
1457075297,29.96294594,0,4.999953606,4.999907212,9,0.030282021,66
1457075302,29.96517801,0,4.999953606,4.999907212,9,0.029580832,67
1457075307,29.95045495,0,4.999953606,4.999907212,9,0.044317007,68
1457075312,29.94377184,0,4.999953606,4.999907212,9,0.051031113,69
1457075317,29.94296885,0,4.999953606,4.999907212,9,0.051818132,70
1457075322,29.94343686,0,4.999953606,4.999907212,9,0.051288128,71
1457075327,29.94690394,0,4.999953606,4.999907212,9,0.047827005,72
1457075332,29.94130683,0,4.999953606,4.999907212,9,0.053438187,73
1457075337,29.95954895,0,4.999953606,4.999907212,9,0.035270929,74
1457075342,29.96507883,0,4.999953606,4.999907212,9,0.029740095,75
1457075347,29.97172785,0,4.999953606,4.999907212,9,0.023070097,76
1457075352,29.97239399,0,4.999953606,4.999907212,9,0.022393942,77
1457075357,29.96527481,0,4.999953606,4.999907212,9,0.029484034,78
1457075362,29.96335387,0,4.999953606,4.999907212,9,0.031461954,79
1457075367,29.96966887,0,4.999953606,4.999907212,9,0.025151968,80
1457075372,29.95808291,0,4.999953606,4.999907212,9,0.036664009,81
1457075377,29.95153594,0,4.999953606,4.999907212,9,0.043263912,82
1457075382,29.95717382,0,4.999953606,4.999907212,9,0.037604094,83
1457075387,29.9134109,0,4.999953606,4.999907212,9,0.081319094,84
1457075392,29.93917298,0,4.999953606,4.999907212,9,0.055654049,85
1457075397,29.93044686,0,4.999953606,4.999907212,9,0.064366102,86
1457075402,29.95901799,0,4.999953606,4.999907212,9,0.035779953,87
1457075407,29.94903302,0,4.999953606,4.999907212,9,0.045655012,88
1457075412,29.97052693,0,4.999953606,4.999907212,9,0.024262905,89
