TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,ChunkID
1457074801,4.988592863,0,3.526397127,2.052794254,3,0.011370182,0
1457074801,9.94695282,0,4.999953606,4.999907212,9,0.041534185,1
1457074801,14.90526891,0,4.999953606,4.999907212,9,0.041594028,2
1457074801,19.85397601,0,4.999953606,4.999907212,9,0.051182032,3
1457074802,24.75625396,0,4.999953606,4.999907212,9,0.097622871,4
1457074890,0,59.04966307,2.248483513,0,9,88.80581808,5
1457074890,4.990828037,0,2.567247996,0.134495992,1,0.008949041,6
1457074948,0,47.14187193,2.311638169,0,9,57.13261604,7
1457074956,0,3.267950058,1.149759186,0.04201984,1,8.267821074,8
1457074963,0,2.675767899,1.261836103,0.048049398,1,7.675656796,9
1457074969,0,0.245346069,2.215449556,0.099352273,1,5.245239973,10
1457074972,1.475435019,0,2.567247996,0.134495992,1,3.524437904,11
1457074974,4.640316963,0,2.567247996,0.134495992,1,1.835020065,12
1457074988,0,3.839715958,1.058052372,0.03708616,1,13.47990799,13
1457074995,0,2.536846161,1.291288987,0.049633916,1,7.536671162,14
1457075009,0,8.974646807,0.580885638,0.011415355,1,13.9745369,15
1457075013,0.861071825,0,2.567247996,0.134495992,1,4.138803005,16
1457075014,4.947697878,0,2.567247996,0.134495992,1,0.913239956,17
1457075014,9.940453768,0,2.567247996,0.134495992,1,0.007152081,18
1457075103,0,73.45044017,2.194055271,0,9,88.39083695,19
1457075103,4.994091988,0,2.567247996,0.134495992,1,0.005717993,20
1457075103,9.911900043,0,4.999953606,4.999907212,9,0.082109928,21
1457075103,14.77678394,0,4.999953606,4.999907212,9,0.135025024,22
1457075103,19.59837699,0,4.999953606,4.999907212,9,0.178318024,23
1457075103,24.48236704,0,4.999953606,4.999907212,9,0.115878105,24
1457075103,29.39596009,0,4.999953606,4.999907212,9,0.086298943,25
1457075108,29.96265316,0,4.999953606,4.999907212,9,0.036288977,26
1457075113,29.95383501,0,4.999953606,4.999907212,9,0.045083046,27
1457075118,29.96167707,0,4.999953606,4.999907212,9,0.037239075,28
1457075123,29.96725011,0,4.999953606,4.999907212,9,0.031685829,29
1457075128,29.94600105,0,4.999953606,4.999907212,9,0.052937984,30
