TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,ChunkID
1457074801,4.978957891,0,3.526397127,2.052794254,3,0.02099514,0
1457074801,9.89516902,0,4.999953606,4.999907212,9,0.083647013,1
1457074802,14.81369209,0,4.999953606,4.999907212,9,0.081345797,2
1457074849,0,27.76183891,2.490323814,0,9,47.57540393,3
1457074851,3.147989988,0,2.567247996,0.134495992,1,1.85187602,4
1457074861,0,1.918857098,1.441489245,0.057714449,1,10.06672812,5
1457074872,0,6.132481098,0.791010779,0.022719751,1,11.13236904,6
1457074879,0,1.487307787,1.571169476,0.064691038,1,6.487129927,7
1457074887,0,3.487501144,1.112878419,0.040035714,1,8.487385035,8
1457074890,1.782648087,0,2.567247996,0.134495992,1,3.217253923,9
1457074891,6.412750006,0,2.567247996,0.134495992,1,0.369786978,10
1457074901,0.913011074,0,3.793976899,2.587953799,4,10.49963784,11
1457074908,0,0.961822987,1.772630024,0.075529292,1,6.874711037,12
1457074920,0,6.673393965,0.743499165,0.020163702,1,11.67326188,13
1457074927,0,2.397380114,1.322284301,0.051301414,1,7.397240162,14
1457074946,0,13.89343786,0.357277265,0,1,18.89332891,15
1457074950,1.483748913,0,2.567247996,0.134495992,1,3.51611805,16
1457074955,0.909958839,0,2.567247996,0.134495992,1,5.573698044,17
1457074956,5.302412033,0,2.567247996,0.134495992,1,0.607465982,18
1457074966,0.213145971,0,3.132872367,1.265744734,2,10.08918309,19
1457074970,1.363857031,0,2.567247996,0.134495992,1,3.849104881,20
1457074972,3.856199026,0,2.567247996,0.134495992,1,2.507517815,21
1457074981,0,0.37797308,2.105486814,0.093436454,1,9.234038115,22
1457074996,0,9.288290977,0.562525035,0.010427584,1,14.28814793,23
1457075006,0,5.017117023,0.905073493,0.028856142,1,10.01699615,24
1457075013,0,1.866505861,1.455942965,0.058492036,1,6.866383791,25
1457075014,3.53075695,0,2.567247996,0.134495992,1,1.469094038,26
1457075023,0,0.716080189,1.892581857,0.081982509,1,9.246703148,27
1457075034,0,5.538185835,0.848757211,0.025826416,1,10.53803396,28
1457075041,0,2.613728046,1.274821574,0.048747996,1,7.613585949,29
1457075053,0,6.606467009,0.749143652,0.020467366,1,11.60633802,30
1457075060,0,1.694869041,1.505658929,0.061166675,1,6.694714069,31
1457075069,0,4.423999071,0.977034317,0.032727519,1,9.423897982,32
1457075076,0,1.303172827,1.635148192,0.06813299,1,6.303052902,33
1457075083,0,2.453375101,1.309660005,0.050622248,1,7.453244925,34
1457075095,0,6.966665983,0.719485257,0.018871792,1,11.96656203,35
1457075103,0,2.57524395,1.283011529,0.049188602,1,7.575100899,36
1457075103,4.966502905,0,2.567247996,0.134495992,1,0.033369064,37
1457075103,9.815207005,0,4.999953606,4.999907212,9,0.151209831,38
1457075103,14.68620205,0,4.999953606,4.999907212,9,0.128861904,39
1457075103,19.59119987,0,4.999953606,4.999907212,9,0.094860077,40
1457075103,24.47567487,0,4.999953606,4.999907212,9,0.115403175,41
1457075103,29.32330585,0,4.999953606,4.999907212,9,0.152287006,42
1457075108,29.94049096,0,4.999953606,4.999907212,9,0.054940939,43
1457075113,29.94394803,0,4.999953606,4.999907212,9,0.050941944,44
1457075118,29.90029883,0,4.999953606,4.999907212,9,0.094538212,45
1457075123,29.93815088,0,4.999953606,4.999907212,9,0.056707144,46
1457075128,29.92047787,0,4.999953606,4.999907212,9,0.074331999,47
1457075133,29.89716792,0,4.999953606,4.999907212,9,0.097722054,48
1457075138,29.92603683,0,4.999953606,4.999907212,9,0.068886042,49
1457075143,29.93508697,0,4.999953606,4.999907212,9,0.059709072,50
1457075148,29.93249202,0,4.999953606,4.999907212,9,0.062364817,51
1457075153,29.92641997,0,4.999953606,4.999907212,9,0.068300962,52
1457075158,29.92778087,0,4.999953606,4.999907212,9,0.067038059,53
1457075163,29.90520501,0,4.999953606,4.999907212,9,0.089591026,54
1457075168,29.921211,0,4.999953606,4.999907212,9,0.073590994,55
1457075173,29.92555904,0,4.999953606,4.999907212,9,0.069296837,56
1457075178,29.96626806,0,4.999953606,4.999907212,9,0.028499842,57
1457075183,29.94723296,0,4.999953606,4.999907212,9,0.047425032,58
1457075188,29.92166305,0,4.999953606,4.999907212,9,0.072921991,59
1457075193,29.84624004,0,4.999953606,4.999907212,9,0.148551941,60
1457075198,29.94517183,0,4.999953606,4.999907212,9,0.049797058,61
1457075203,29.92888284,0,4.999953606,4.999907212,9,0.065947056,62
1457075208,29.94700789,0,4.999953606,4.999907212,9,0.04788208,63
1457075213,29.94570494,0,4.999953606,4.999907212,9,0.049145937,64
1457075218,29.91880202,0,4.999953606,4.999907212,9,0.076046944,65
1457075223,29.95332885,0,4.999953606,4.999907212,9,0.041511059,66
1457075228,29.96478486,0,4.999953606,4.999907212,9,0.029896021,67
1457075233,29.92271686,0,4.999953606,4.999907212,9,0.072139978,68
1457075238,29.92353892,0,4.999953606,4.999907212,9,0.071346045,69
1457075243,29.92461896,0,4.999953606,4.999907212,9,0.070225,70
1457075248,29.90202188,0,4.999953606,4.999907212,9,0.092803955,71
1457075253,29.92108798,0,4.999953606,4.999907212,9,0.073832989,72
1457075258,29.91354489,0,4.999953606,4.999907212,9,0.081352949,73
1457075263,29.95546484,0,4.999953606,4.999907212,9,0.039367199,74
1457075268,29.9398849,0,4.999953606,4.999907212,9,0.05469203,75
1457075273,29.967242,0,4.999953606,4.999907212,9,0.027535915,76
1457075278,29.94473791,0,4.999953606,4.999907212,9,0.050015926,77
1457075283,29.93734789,0,4.999953606,4.999907212,9,0.057507992,78
1457075288,29.94433999,0,4.999953606,4.999907212,9,0.050541878,79
1457075293,29.96252584,0,4.999953606,4.999907212,9,0.032369137,80
1457075298,29.96557188,0,4.999953606,4.999907212,9,0.029256105,81
1457075303,29.93906283,0,4.999953606,4.999907212,9,0.055770159,82
1457075308,29.94697785,0,4.999953606,4.999907212,9,0.047854185,83
1457075313,29.88854289,0,4.999953606,4.999907212,9,0.106317043,84
1457075318,29.91421986,0,4.999953606,4.999907212,9,0.080722094,85
1457075323,29.90650606,0,4.999953606,4.999907212,9,0.088318825,86
1457075328,29.95060086,0,4.999953606,4.999907212,9,0.044187069,87
1457075333,29.92058802,0,4.999953606,4.999907212,9,0.07423687,88
1457075338,29.96034694,0,4.999953606,4.999907212,9,0.034533978,89
1457075343,29.94925904,0,4.999953606,4.999907212,9,0.045600891,90
1457075348,29.95695901,0,4.999953606,4.999907212,9,0.037889004,91
1457075353,29.91096306,0,4.999953606,4.999907212,9,0.083813906,92
1457075358,29.92103505,0,4.999953606,4.999907212,9,0.073803902,93
1457075363,29.94660687,0,4.999953606,4.999907212,9,0.048225164,94
1457075368,29.95832396,0,4.999953606,4.999907212,9,0.036475897,95
1457075373,29.95427299,0,4.999953606,4.999907212,9,0.040502071,96
1457075378,29.97279501,0,4.999953606,4.999907212,9,0.021986008,97
1457075383,29.95474195,0,4.999953606,4.999907212,9,0.040056944,98
1457075388,29.95207095,0,4.999953606,4.999907212,9,0.042732,99
1457075393,29.9352119,0,4.999953606,4.999907212,9,0.059643984,100
1457075398,29.88451886,0,4.999953606,4.999907212,9,0.110330105,101
1457075403,29.884197,0,4.999953606,4.999907212,9,0.110754013,102
1457075408,29.87785792,0,4.999953606,4.999907212,9,0.11706996,103
1457075413,29.93257284,0,4.999953606,4.999907212,9,0.062374115,104
1457075418,29.92752004,0,4.999953606,4.999907212,9,0.067327023,105
1457075423,29.94857287,0,4.999953606,4.999907212,9,0.046318054,106
1457075428,29.944067,0,4.999953606,4.999907212,9,0.049268961,107
1457075433,29.94642091,0,4.999953606,4.999907212,9,0.048413992,108
1457075438,29.94056392,0,4.999953606,4.999907212,9,0.054304123,109
