Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
Fri Mar  4 07:00:14,7.000,0.080,0.000,168196.000,4568.000,1448132.000,289864.000,1057852.000,1.000,1.000
Fri Mar  4 07:00:15,7.000,0.080,0.000,168196.000,4569.000,1448132.000,289864.000,1057852.000,0.000,2.000
Fri Mar  4 07:00:16,7.000,0.080,0.000,168196.000,4568.000,1448132.000,289864.000,1057852.000,0.000,1.000
Fri Mar  4 07:00:17,7.000,0.080,0.000,168196.000,4569.000,1448132.000,289864.000,1057852.000,0.000,1.000
Fri Mar  4 07:00:18,7.000,0.080,0.000,168196.000,4568.000,1448132.000,289864.000,1057852.000,1.000,1.000
Fri Mar  4 07:00:19,7.000,0.080,0.000,168196.000,4568.000,1448132.000,289864.000,1057852.000,0.000,1.000
Fri Mar  4 07:00:20,7.000,0.080,0.000,168196.000,4569.000,1448132.000,289864.000,1057852.000,0.000,2.000
Fri Mar  4 07:00:21,7.000,0.080,0.000,168196.000,4568.000,1448132.000,289864.000,1057852.000,1.000,1.000
Fri Mar  4 07:00:22,7.000,0.070,0.000,168125.000,4568.000,1448132.000,289864.000,1058160.000,0.000,1.000
Fri Mar  4 07:00:23,8.000,0.070,0.000,130427.000,4099.000,1448132.000,289864.000,1058160.000,0.000,0.000
Fri Mar  4 07:00:24,8.000,0.070,0.000,130428.000,4099.000,1448132.000,289864.000,1058160.000,0.000,1.000
Fri Mar  4 07:00:25,8.000,0.070,0.000,130428.000,4100.000,1448132.000,289864.000,1058160.000,1.000,0.000
Fri Mar  4 07:00:26,8.000,0.070,0.000,130427.000,4099.000,1448132.000,289864.000,1058160.000,0.000,1.000
Fri Mar  4 07:00:27,8.000,0.070,0.000,130428.000,4099.000,1448132.000,289864.000,1058160.000,0.000,0.000
Fri Mar  4 07:00:28,8.000,0.070,0.000,130427.000,4099.000,1448132.000,289864.000,1058160.000,0.000,0.000
Fri Mar  4 07:00:29,8.000,0.070,0.000,130428.000,4100.000,1448132.000,289864.000,1058160.000,0.000,1.000
Fri Mar  4 07:00:30,8.000,0.070,0.000,130428.000,4099.000,1448132.000,289864.000,1058160.000,1.000,0.000
Fri Mar  4 07:00:31,8.000,0.070,0.000,130427.000,4099.000,1448132.000,289864.000,1058160.000,0.000,1.000
Fri Mar  4 07:00:32,8.000,0.060,0.000,130511.000,4101.000,1448132.000,289864.000,1058424.000,0.000,0.000
Fri Mar  4 07:00:33,6.000,0.060,0.000,171223.000,4657.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:34,6.000,0.060,0.000,171223.000,4658.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:35,6.000,0.060,0.000,171222.000,4658.000,1448132.000,289864.000,1058424.000,1.000,1.000
Fri Mar  4 07:00:36,6.000,0.060,0.000,171223.000,4657.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:37,6.000,0.060,1.000,171223.000,4658.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:38,6.000,0.060,0.000,171222.000,4658.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:39,6.000,0.060,0.000,171223.000,4657.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:40,6.000,0.060,0.000,171223.000,4658.000,1448132.000,289864.000,1058424.000,1.000,1.000
Fri Mar  4 07:00:41,6.000,0.060,0.000,171222.000,4658.000,1448132.000,289864.000,1058424.000,0.000,1.000
Fri Mar  4 07:00:42,6.000,0.050,0.000,172154.000,4670.000,1448132.000,289864.000,1058672.000,0.000,1.000
Fri Mar  4 07:00:43,6.000,0.050,0.000,580868.000,9916.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:44,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:45,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,1.000
Fri Mar  4 07:00:46,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:47,6.000,0.050,1.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:48,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:49,6.000,0.050,0.000,580869.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:50,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,1.000
Fri Mar  4 07:00:51,6.000,0.050,0.000,580868.000,9917.000,1448132.000,289864.000,1058672.000,1.000,0.000
Fri Mar  4 07:00:52,6.000,0.040,0.000,580063.000,9906.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:00:53,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:00:54,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,0.000,1.000
Fri Mar  4 07:00:55,12.000,0.040,0.000,202229.000,4623.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:00:56,12.000,0.040,0.000,202230.000,4624.000,1448132.000,289864.000,1059836.000,0.000,1.000
Fri Mar  4 07:00:57,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:00:58,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:00:59,12.000,0.040,0.000,202229.000,4623.000,1448132.000,289864.000,1059836.000,0.000,1.000
Fri Mar  4 07:01:00,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,1.000,0.000
Fri Mar  4 07:01:01,12.000,0.040,0.000,202230.000,4623.000,1448132.000,289864.000,1059836.000,0.000,1.000
Fri Mar  4 07:01:02,12.000,0.040,0.000,202076.000,4621.000,1448132.000,289864.000,1060484.000,1.000,0.000
Fri Mar  4 07:01:03,8.000,0.040,0.000,119535.000,3456.000,1448132.000,289864.000,1060484.000,0.000,0.000
Fri Mar  4 07:01:04,8.000,0.040,0.000,119536.000,3456.000,1448132.000,289864.000,1060484.000,0.000,1.000
Fri Mar  4 07:01:05,8.000,0.040,0.000,119536.000,3455.000,1448132.000,289864.000,1060484.000,1.000,0.000
Fri Mar  4 07:01:06,8.000,0.040,0.000,119535.000,3456.000,1448132.000,289864.000,1060484.000,0.000,0.000
Fri Mar  4 07:01:07,8.000,0.040,0.000,119536.000,3455.000,1448132.000,289864.000,1060484.000,0.000,1.000
Fri Mar  4 07:01:08,8.000,0.040,0.000,119535.000,3456.000,1448132.000,289864.000,1060484.000,0.000,0.000
Fri Mar  4 07:01:09,8.000,0.040,0.000,119536.000,3455.000,1448132.000,289864.000,1060484.000,0.000,0.000
Fri Mar  4 07:01:10,8.000,0.040,0.000,119536.000,3456.000,1448132.000,289864.000,1060484.000,1.000,0.000
Fri Mar  4 07:01:11,8.000,0.040,0.000,119535.000,3455.000,1448132.000,289864.000,1060484.000,0.000,1.000
Fri Mar  4 07:01:12,8.000,0.030,0.000,119361.000,3451.000,1448132.000,289864.000,1060660.000,0.000,0.000
Fri Mar  4 07:01:13,6.000,0.030,0.000,126691.000,4039.000,1454260.000,283736.000,1060660.000,0.000,2.000
Fri Mar  4 07:01:14,6.000,0.030,0.000,127165.000,4053.000,1454260.000,283736.000,1060660.000,1.000,1.000
Fri Mar  4 07:01:15,6.000,0.030,0.000,127165.000,4054.000,1454260.000,283736.000,1060660.000,0.000,2.000
Fri Mar  4 07:01:16,6.000,0.030,0.000,127165.000,4053.000,1454260.000,283736.000,1060660.000,0.000,2.000
Fri Mar  4 07:01:17,6.000,0.030,0.000,127164.000,4054.000,1454260.000,283736.000,1060660.000,0.000,1.000
Fri Mar  4 07:01:18,6.000,0.030,0.000,127165.000,4054.000,1454260.000,283736.000,1060660.000,1.000,2.000
Fri Mar  4 07:01:19,6.000,0.030,0.000,127165.000,4053.000,1454260.000,283736.000,1060660.000,0.000,2.000
Fri Mar  4 07:01:20,6.000,0.030,0.000,127165.000,4054.000,1454260.000,283736.000,1060660.000,0.000,2.000
Fri Mar  4 07:01:21,6.000,0.030,0.000,127165.000,4054.000,1454260.000,283736.000,1060660.000,1.000,1.000
Fri Mar  4 07:01:22,6.000,0.030,0.000,127839.000,4064.000,1454260.000,283736.000,1061012.000,0.000,2.000
Fri Mar  4 07:01:23,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,2.000
Fri Mar  4 07:01:24,6.000,0.030,0.000,507210.000,10347.000,1454260.000,283736.000,1061012.000,1.000,1.000
Fri Mar  4 07:01:25,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,2.000
Fri Mar  4 07:01:26,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,1.000
Fri Mar  4 07:01:27,6.000,0.030,0.000,507211.000,10346.000,1454260.000,283736.000,1061012.000,1.000,2.000
Fri Mar  4 07:01:28,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,1.000
Fri Mar  4 07:01:29,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,2.000
Fri Mar  4 07:01:30,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,1.000
Fri Mar  4 07:01:31,6.000,0.030,0.000,507210.000,10346.000,1454260.000,283736.000,1061012.000,1.000,2.000
Fri Mar  4 07:01:32,6.000,0.020,0.000,506602.000,10336.000,1454260.000,283736.000,1062104.000,1.000,1.000
Fri Mar  4 07:01:33,5.000,0.020,0.000,200075.000,4859.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:34,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:35,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,0.000,1.000
Fri Mar  4 07:01:36,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:37,5.000,0.020,1.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:38,5.000,0.020,0.000,200076.000,4859.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:39,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:40,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,0.000,1.000
Fri Mar  4 07:01:41,5.000,0.020,0.000,200075.000,4860.000,1454260.000,283736.000,1062104.000,1.000,0.000
Fri Mar  4 07:01:42,5.000,0.020,0.000,199930.000,4858.000,1454260.000,283736.000,1063076.000,1.000,0.000
Fri Mar  4 07:01:43,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,0.000,1.000
Fri Mar  4 07:01:44,12.000,0.020,0.000,126263.000,3921.000,1454260.000,283736.000,1063076.000,1.000,0.000
Fri Mar  4 07:01:45,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,0.000,1.000
Fri Mar  4 07:01:46,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,1.000,0.000
Fri Mar  4 07:01:47,12.000,0.020,1.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,0.000,1.000
Fri Mar  4 07:01:48,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,0.000,1.000
Fri Mar  4 07:01:49,12.000,0.020,0.000,126263.000,3922.000,1454260.000,283736.000,1063076.000,1.000,0.000
Fri Mar  4 07:01:50,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,0.000,1.000
Fri Mar  4 07:01:51,12.000,0.020,0.000,126262.000,3921.000,1454260.000,283736.000,1063076.000,1.000,0.000
Fri Mar  4 07:01:52,12.000,0.020,0.000,126260.000,3921.000,1454260.000,283736.000,1063492.000,0.000,1.000
Fri Mar  4 07:01:53,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,0.000,1.000
Fri Mar  4 07:01:54,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,1.000,0.000
Fri Mar  4 07:01:55,12.000,0.020,0.000,125343.000,3849.000,1454260.000,283736.000,1063492.000,0.000,1.000
Fri Mar  4 07:01:56,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,0.000,0.000
Fri Mar  4 07:01:57,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,1.000,1.000
Fri Mar  4 07:01:58,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,0.000,1.000
Fri Mar  4 07:01:59,12.000,0.020,0.000,125343.000,3850.000,1454260.000,283736.000,1063492.000,0.000,0.000
Fri Mar  4 07:02:00,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,0.000,1.000
Fri Mar  4 07:02:01,12.000,0.020,0.000,125344.000,3850.000,1454260.000,283736.000,1063492.000,1.000,0.000
Fri Mar  4 07:02:02,12.000,0.010,0.000,125344.000,3850.000,1454260.000,283736.000,1063796.000,0.000,1.000
Fri Mar  4 07:02:03,6.000,0.010,0.000,125552.000,3849.000,1454260.000,283736.000,1063796.000,0.000,3.000
Fri Mar  4 07:02:04,6.000,0.010,0.000,125553.000,3850.000,1454260.000,283736.000,1063796.000,0.000,2.000
Fri Mar  4 07:02:05,6.000,0.010,0.000,125552.000,3849.000,1454260.000,283736.000,1063796.000,0.000,3.000
Fri Mar  4 07:02:06,6.000,0.010,0.000,125553.000,3850.000,1454260.000,283736.000,1063796.000,0.000,2.000
Fri Mar  4 07:02:07,6.000,0.010,0.000,125552.000,3850.000,1454260.000,283736.000,1063796.000,1.000,3.000
Fri Mar  4 07:02:08,6.000,0.010,0.000,125553.000,3849.000,1454260.000,283736.000,1063796.000,0.000,2.000
Fri Mar  4 07:02:09,6.000,0.010,0.000,125553.000,3850.000,1454260.000,283736.000,1063796.000,0.000,3.000
Fri Mar  4 07:02:10,6.000,0.010,0.000,125552.000,3849.000,1454260.000,283736.000,1063796.000,0.000,2.000
Fri Mar  4 07:02:11,6.000,0.010,0.000,125553.000,3850.000,1454260.000,283736.000,1063796.000,0.000,3.000
Fri Mar  4 07:02:12,6.000,0.010,0.000,125901.000,3845.000,1454260.000,283736.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:13,6.000,0.010,0.000,127521.000,3973.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:14,6.000,0.010,0.000,125864.000,3996.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:15,6.000,0.010,0.000,125864.000,3995.000,1456184.000,281812.000,1063884.000,1.000,1.000
Fri Mar  4 07:02:16,6.000,0.010,0.000,125864.000,3996.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:17,6.000,0.010,0.000,125864.000,3996.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:18,6.000,0.010,0.000,125864.000,3996.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:19,6.000,0.010,0.000,125864.000,3996.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:20,6.000,0.010,0.000,125863.000,3996.000,1456184.000,281812.000,1063884.000,1.000,1.000
Fri Mar  4 07:02:21,6.000,0.010,0.000,125864.000,3995.000,1456184.000,281812.000,1063884.000,0.000,2.000
Fri Mar  4 07:02:22,6.000,0.010,0.000,126088.000,3999.000,1456184.000,281812.000,1064028.000,0.000,2.000
Fri Mar  4 07:02:23,7.000,0.010,0.000,249683.000,5545.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:24,7.000,0.010,0.000,249683.000,5546.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:25,7.000,0.010,0.000,249683.000,5545.000,1456184.000,281812.000,1064028.000,0.000,2.000
Fri Mar  4 07:02:26,7.000,0.010,0.000,249682.000,5546.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:27,7.000,0.010,0.000,249683.000,5545.000,1456184.000,281812.000,1064028.000,1.000,1.000
Fri Mar  4 07:02:28,7.000,0.010,0.000,249683.000,5545.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:29,7.000,0.010,0.000,249683.000,5546.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:30,7.000,0.010,0.000,249683.000,5545.000,1456184.000,281812.000,1064028.000,0.000,2.000
Fri Mar  4 07:02:31,7.000,0.010,0.000,249682.000,5546.000,1456184.000,281812.000,1064028.000,0.000,1.000
Fri Mar  4 07:02:32,7.000,0.010,0.000,249588.000,5543.000,1456184.000,281812.000,1064128.000,0.000,1.000
Fri Mar  4 07:02:33,7.000,0.010,0.000,190312.000,4476.000,1456184.000,281812.000,1064128.000,0.000,0.000
Fri Mar  4 07:02:34,7.000,0.010,0.000,190312.000,4476.000,1456184.000,281812.000,1064128.000,0.000,1.000
Fri Mar  4 07:02:35,7.000,0.010,0.000,190313.000,4476.000,1456184.000,281812.000,1064128.000,0.000,0.000
Fri Mar  4 07:02:36,7.000,0.010,0.000,190312.000,4476.000,1456184.000,281812.000,1064128.000,0.000,1.000
Fri Mar  4 07:02:37,7.000,0.010,0.000,190312.000,4477.000,1456184.000,281812.000,1064128.000,0.000,0.000
Fri Mar  4 07:02:38,7.000,0.010,0.000,190313.000,4476.000,1456184.000,281812.000,1064128.000,0.000,0.000
Fri Mar  4 07:02:39,7.000,0.010,0.000,190312.000,4476.000,1456184.000,281812.000,1064128.000,0.000,1.000
Fri Mar  4 07:02:40,7.000,0.010,0.000,190312.000,4476.000,1456184.000,281812.000,1064128.000,0.000,0.000
Fri Mar  4 07:02:41,7.000,0.010,0.000,190313.000,4476.000,1456184.000,281812.000,1064128.000,0.000,1.000
Fri Mar  4 07:02:42,7.000,0.010,0.000,191126.000,4486.000,1456184.000,281812.000,1064132.000,0.000,0.000
Fri Mar  4 07:02:43,10.000,0.010,0.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,0.000,0.000
Fri Mar  4 07:02:44,10.000,0.010,0.000,560886.000,9215.000,1456184.000,281812.000,1064132.000,1.000,0.000
Fri Mar  4 07:02:45,10.000,0.010,0.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,0.000,1.000
Fri Mar  4 07:02:46,10.000,0.010,0.000,560887.000,9216.000,1456184.000,281812.000,1064132.000,1.000,0.000
Fri Mar  4 07:02:47,10.000,0.010,1.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,0.000,0.000
Fri Mar  4 07:02:48,10.000,0.010,0.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,0.000,0.000
Fri Mar  4 07:02:49,10.000,0.010,0.000,560886.000,9215.000,1456184.000,281812.000,1064132.000,1.000,0.000
Fri Mar  4 07:02:50,10.000,0.010,0.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,0.000,1.000
Fri Mar  4 07:02:51,10.000,0.010,0.000,560887.000,9215.000,1456184.000,281812.000,1064132.000,1.000,0.000
Fri Mar  4 07:02:52,10.000,0.010,0.000,560763.000,9213.000,1456184.000,281812.000,1064560.000,0.000,0.000
Fri Mar  4 07:02:53,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:02:54,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,1.000,2.000
Fri Mar  4 07:02:55,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:02:56,13.000,0.010,0.000,506895.000,8174.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:02:57,13.000,0.010,0.000,506894.000,8175.000,1456184.000,281812.000,1064560.000,1.000,2.000
Fri Mar  4 07:02:58,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:02:59,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:03:00,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,0.000,1.000
Fri Mar  4 07:03:01,13.000,0.010,0.000,506895.000,8175.000,1456184.000,281812.000,1064560.000,1.000,2.000
Fri Mar  4 07:03:02,13.000,0.000,0.000,506139.000,8166.000,1456184.000,281812.000,1064844.000,0.000,1.000
Fri Mar  4 07:03:03,7.000,0.000,0.000,123906.000,3700.000,1456184.000,281812.000,1064844.000,0.000,1.000
Fri Mar  4 07:03:04,7.000,0.000,0.000,123907.000,3701.000,1456184.000,281812.000,1064844.000,0.000,0.000
Fri Mar  4 07:03:05,7.000,0.000,0.000,123906.000,3700.000,1456184.000,281812.000,1064844.000,0.000,1.000
Fri Mar  4 07:03:06,7.000,0.000,0.000,123907.000,3700.000,1456184.000,281812.000,1064844.000,0.000,0.000
Fri Mar  4 07:03:07,7.000,0.000,0.000,123907.000,3700.000,1456184.000,281812.000,1064844.000,1.000,1.000
Fri Mar  4 07:03:08,7.000,0.000,0.000,123906.000,3700.000,1456184.000,281812.000,1064844.000,0.000,1.000
Fri Mar  4 07:03:09,7.000,0.000,0.000,123907.000,3700.000,1456184.000,281812.000,1064844.000,0.000,0.000
Fri Mar  4 07:03:10,7.000,0.000,0.000,123906.000,3700.000,1456184.000,281812.000,1064844.000,0.000,1.000
Fri Mar  4 07:03:11,7.000,0.000,0.000,123907.000,3701.000,1456184.000,281812.000,1064844.000,0.000,0.000
Fri Mar  4 07:03:12,9.000,0.000,0.000,124758.000,3718.000,1456184.000,281812.000,1064912.000,0.000,1.000
Fri Mar  4 07:03:13,14.000,0.000,0.000,137436.000,4396.000,1455932.000,282064.000,1064912.000,0.000,0.000
Fri Mar  4 07:03:14,6.000,0.000,0.000,133471.000,4313.000,1455932.000,282064.000,1064912.000,0.000,1.000
Fri Mar  4 07:03:15,6.000,0.000,0.000,133472.000,4312.000,1455932.000,282064.000,1064912.000,1.000,0.000
Fri Mar  4 07:03:16,6.000,0.000,0.000,133471.000,4313.000,1455932.000,282064.000,1064912.000,0.000,1.000
Fri Mar  4 07:03:17,6.000,0.000,0.000,133471.000,4312.000,1455932.000,282064.000,1064912.000,0.000,0.000
Fri Mar  4 07:03:18,6.000,0.000,0.000,133471.000,4313.000,1455932.000,282064.000,1064912.000,0.000,0.000
Fri Mar  4 07:03:19,6.000,0.000,0.000,133471.000,4313.000,1455932.000,282064.000,1064912.000,0.000,1.000
Fri Mar  4 07:03:20,6.000,0.000,0.000,133471.000,4312.000,1455932.000,282064.000,1064912.000,1.000,0.000
Fri Mar  4 07:03:21,6.000,0.000,0.000,133472.000,4313.000,1455932.000,282064.000,1064912.000,0.000,1.000
Fri Mar  4 07:03:22,6.000,0.000,0.000,133634.000,4315.000,1455932.000,282064.000,1065072.000,0.000,0.000
Fri Mar  4 07:03:23,3.000,0.000,0.000,215558.000,5467.000,1455932.000,282064.000,1065072.000,0.000,0.000
Fri Mar  4 07:03:24,3.000,0.000,0.000,215559.000,5466.000,1455932.000,282064.000,1065072.000,0.000,1.000
Fri Mar  4 07:03:25,3.000,0.000,0.000,215559.000,5467.000,1455932.000,282064.000,1065072.000,0.000,0.000
Fri Mar  4 07:03:26,3.000,0.000,0.000,215559.000,5467.000,1455932.000,282064.000,1065072.000,0.000,1.000
Fri Mar  4 07:03:27,3.000,0.000,0.000,215559.000,5466.000,1455932.000,282064.000,1065072.000,1.000,0.000
Fri Mar  4 07:03:28,3.000,0.000,0.000,215559.000,5467.000,1455932.000,282064.000,1065072.000,0.000,0.000
Fri Mar  4 07:03:29,3.000,0.000,0.000,215558.000,5467.000,1455932.000,282064.000,1065072.000,0.000,1.000
Fri Mar  4 07:03:30,3.000,0.000,0.000,215559.000,5466.000,1455932.000,282064.000,1065072.000,0.000,0.000
Fri Mar  4 07:03:31,3.000,0.000,0.000,215559.000,5467.000,1455932.000,282064.000,1065072.000,0.000,1.000
Fri Mar  4 07:03:32,3.000,0.000,0.000,215900.000,5471.000,1455932.000,282064.000,1065196.000,0.000,0.000
Fri Mar  4 07:03:33,6.000,0.000,0.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,0.000,2.000
Fri Mar  4 07:03:34,6.000,0.000,0.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,0.000,1.000
Fri Mar  4 07:03:35,6.000,0.000,1.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,1.000,2.000
Fri Mar  4 07:03:36,6.000,0.000,0.000,373630.000,7272.000,1455932.000,282064.000,1065196.000,0.000,2.000
Fri Mar  4 07:03:37,6.000,0.000,0.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,0.000,2.000
Fri Mar  4 07:03:38,6.000,0.000,0.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,0.000,1.000
Fri Mar  4 07:03:39,6.000,0.000,0.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,0.000,2.000
Fri Mar  4 07:03:40,6.000,0.000,1.000,373630.000,7273.000,1455932.000,282064.000,1065196.000,1.000,2.000
