Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Fri Mar  4 07:00:00,?,0.000,?,?,?,1449068.000,288928.000,1057280.000,?,?
Fri Mar  4 07:00:01,21.000,0.000,6.000,3001412.000,34664.000,1449068.000,288928.000,1057280.000,0.000,1.000
Fri Mar  4 07:00:02,21.000,0.000,6.000,2997413.000,34621.000,1449068.000,288928.000,1057476.000,0.000,0.000
Fri Mar  4 07:00:03,10.000,0.000,2.000,183038.000,4738.000,1449068.000,288928.000,1057476.000,0.000,2.000
Fri Mar  4 07:00:04,10.000,0.000,3.000,183038.000,4739.000,1449068.000,288928.000,1057476.000,1.000,3.000
Fri Mar  4 07:00:05,10.000,0.000,2.000,183037.000,4738.000,1449068.000,288928.000,1057476.000,0.000,2.000
Fri Mar  4 07:00:06,10.000,0.000,2.000,183038.000,4738.000,1449068.000,288928.000,1057476.000,1.000,3.000
Fri Mar  4 07:00:07,10.000,0.000,3.000,183038.000,4739.000,1449068.000,288928.000,1057476.000,0.000,2.000
Fri Mar  4 07:00:08,10.000,0.000,2.000,183038.000,4738.000,1449068.000,288928.000,1057476.000,0.000,2.000
Fri Mar  4 07:00:09,10.000,0.000,2.000,183038.000,4739.000,1449068.000,288928.000,1057476.000,1.000,3.000
Fri Mar  4 07:00:10,10.000,0.000,2.000,183038.000,4738.000,1449068.000,288928.000,1057476.000,0.000,2.000
Fri Mar  4 07:00:11,10.000,0.000,3.000,183038.000,4738.000,1449068.000,288928.000,1057476.000,1.000,3.000
Fri Mar  4 07:00:12,10.000,0.080,2.000,182888.000,4735.000,1449068.000,288928.000,1057852.000,0.000,2.000
Fri Mar  4 07:00:13,7.000,0.080,0.000,167074.000,4538.000,1448132.000,289864.000,1057852.000,0.000,1.000
