Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Mon Mar  7 02:01:14,12.000,0.000,0.000,13927246.000,153165.000,920676.000,817320.000,646568.000,0.000,1.000
Mon Mar  7 02:01:15,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,0.000
Mon Mar  7 02:01:16,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,0.000
Mon Mar  7 02:01:17,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,1.000
Mon Mar  7 02:01:18,12.000,0.000,0.000,13927247.000,153165.000,920676.000,817320.000,646568.000,0.000,0.000
Mon Mar  7 02:01:19,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,1.000
Mon Mar  7 02:01:20,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,0.000
Mon Mar  7 02:01:21,12.000,0.000,0.000,13927246.000,153164.000,920676.000,817320.000,646568.000,0.000,0.000
Mon Mar  7 02:01:22,12.000,0.000,0.000,13927246.000,153165.000,920676.000,817320.000,646568.000,0.000,1.000
Mon Mar  7 02:01:23,16.000,0.000,0.000,19181771.000,197755.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:24,18.000,0.000,0.000,21288298.000,215631.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:25,18.000,0.000,1.000,21288298.000,215632.000,920676.000,817320.000,646584.000,0.000,2.000
Mon Mar  7 02:01:26,18.000,0.000,0.000,21288298.000,215631.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:27,18.000,0.000,0.000,21288298.000,215631.000,920676.000,817320.000,646584.000,0.000,2.000
Mon Mar  7 02:01:28,18.000,0.000,0.000,21288297.000,215632.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:29,18.000,0.000,0.000,21288298.000,215631.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:30,18.000,0.000,1.000,21288298.000,215632.000,920676.000,817320.000,646584.000,0.000,2.000
Mon Mar  7 02:01:31,18.000,0.000,0.000,21288298.000,215631.000,920676.000,817320.000,646584.000,0.000,1.000
Mon Mar  7 02:01:32,18.000,0.000,0.000,21288298.000,215632.000,920676.000,817320.000,646584.000,0.000,2.000
Mon Mar  7 02:01:33,19.000,0.000,0.000,19565041.000,204710.000,920676.000,817320.000,646596.000,0.000,0.000
Mon Mar  7 02:01:34,19.000,0.000,0.000,18875370.000,200341.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:35,19.000,0.000,1.000,18875371.000,200340.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:36,19.000,0.000,0.000,18875370.000,200340.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:37,19.000,0.000,0.000,18875371.000,200340.000,920676.000,817320.000,646596.000,0.000,0.000
Mon Mar  7 02:01:38,19.000,0.000,0.000,18875370.000,200341.000,920676.000,817320.000,646596.000,0.000,1.000
Mon Mar  7 02:01:39,19.000,0.000,0.000,18875371.000,200340.000,920676.000,817320.000,646596.000,0.000,1.000
