Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Tue Mar  1 20:47:00,?,0.020,?,?,?,1547972.000,190024.000,1125324.000,?,?
Tue Mar  1 20:47:01,3.000,0.020,0.000,123356.000,1653.000,1547972.000,190024.000,1125324.000,2.000,1.000
Tue Mar  1 20:47:02,4.000,0.020,0.000,370907.000,4200.000,1547972.000,190024.000,1126604.000,4.000,1.000
Tue Mar  1 20:47:03,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:04,12.000,0.020,0.000,2398409.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:05,12.000,0.020,0.000,2398408.000,25067.000,1547972.000,190024.000,1126604.000,28.000,1.000
Tue Mar  1 20:47:06,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:07,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,29.000,0.000
Tue Mar  1 20:47:08,12.000,0.020,0.000,2398409.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:09,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:10,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,28.000,1.000
Tue Mar  1 20:47:11,12.000,0.020,0.000,2398408.000,25066.000,1547972.000,190024.000,1126604.000,28.000,0.000
Tue Mar  1 20:47:12,12.000,0.020,0.000,2169093.000,22722.000,1568528.000,169468.000,1146380.000,25.000,0.000
Tue Mar  1 20:47:13,5.000,0.020,0.000,298874.000,3630.000,1568528.000,169468.000,1146380.000,2.000,1.000
Tue Mar  1 20:47:14,5.000,0.020,0.000,298873.000,3630.000,1568528.000,169468.000,1146380.000,3.000,0.000
Tue Mar  1 20:47:15,5.000,0.020,0.000,298873.000,3629.000,1568528.000,169468.000,1146380.000,2.000,1.000
Tue Mar  1 20:47:16,5.000,0.020,0.000,298873.000,3630.000,1568528.000,169468.000,1146380.000,2.000,0.000
Tue Mar  1 20:47:17,5.000,0.020,0.000,298873.000,3629.000,1568528.000,169468.000,1146380.000,2.000,1.000
Tue Mar  1 20:47:18,5.000,0.020,0.000,298873.000,3630.000,1568528.000,169468.000,1146380.000,2.000,0.000
Tue Mar  1 20:47:19,5.000,0.020,0.000,298874.000,3630.000,1568528.000,169468.000,1146380.000,3.000,1.000
Tue Mar  1 20:47:20,5.000,0.020,0.000,298873.000,3629.000,1568528.000,169468.000,1146380.000,2.000,0.000
Tue Mar  1 20:47:21,5.000,0.020,0.000,298873.000,3630.000,1568528.000,169468.000,1146380.000,2.000,1.000
Tue Mar  1 20:47:22,5.000,0.010,0.000,353019.000,4142.000,1568528.000,169468.000,1149080.000,3.000,0.000
Tue Mar  1 20:47:23,7.000,0.010,0.000,798558.000,8365.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:24,7.000,0.010,0.000,798557.000,8364.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:25,7.000,0.010,0.000,798558.000,8364.000,1568528.000,169468.000,1149080.000,5.000,0.000
Tue Mar  1 20:47:26,7.000,0.010,0.000,798557.000,8364.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:27,7.000,0.010,0.000,798558.000,8365.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:28,7.000,0.010,0.000,798557.000,8364.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:29,7.000,0.010,0.000,798558.000,8364.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:30,7.000,0.010,0.000,798557.000,8365.000,1568528.000,169468.000,1149080.000,5.000,0.000
Tue Mar  1 20:47:31,7.000,0.010,0.000,798558.000,8364.000,1568528.000,169468.000,1149080.000,5.000,1.000
Tue Mar  1 20:47:32,7.000,0.010,0.000,792142.000,8338.000,1568528.000,169468.000,1155064.000,6.000,1.000
Tue Mar  1 20:47:33,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:34,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,1.000
Tue Mar  1 20:47:35,6.000,0.010,0.000,739145.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:36,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:37,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,1.000
Tue Mar  1 20:47:38,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:39,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,1.000
Tue Mar  1 20:47:40,6.000,0.010,0.000,739145.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:41,6.000,0.010,0.000,739146.000,8125.000,1568528.000,169468.000,1155064.000,5.000,2.000
Tue Mar  1 20:47:42,6.000,0.010,0.000,720971.000,8047.000,1568528.000,169468.000,1160544.000,5.000,1.000
Tue Mar  1 20:47:43,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:44,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:45,7.000,0.010,0.000,571810.000,7401.000,1568528.000,169468.000,1160544.000,7.000,0.000
Tue Mar  1 20:47:46,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:47,7.000,0.010,0.000,571810.000,7402.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:48,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:49,7.000,0.010,0.000,571810.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:50,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,0.000
Tue Mar  1 20:47:51,7.000,0.010,0.000,571809.000,7401.000,1568528.000,169468.000,1160544.000,7.000,1.000
Tue Mar  1 20:47:52,7.000,0.010,0.000,603189.000,7481.000,1568528.000,169468.000,1164592.000,7.000,1.000
Tue Mar  1 20:47:53,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:47:54,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:47:55,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,1.000
Tue Mar  1 20:47:56,9.000,0.010,0.000,863054.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:47:57,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:47:58,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:47:59,9.000,0.010,0.000,863055.000,8144.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:48:00,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,1.000
Tue Mar  1 20:48:01,9.000,0.010,0.000,863055.000,8143.000,1568528.000,169468.000,1164592.000,6.000,0.000
Tue Mar  1 20:48:02,9.000,0.010,0.000,816858.000,7831.000,1568528.000,169468.000,1171624.000,5.000,0.000
Tue Mar  1 20:48:03,8.000,0.010,0.000,438278.000,5278.000,1568528.000,169468.000,1171624.000,2.000,0.000
Tue Mar  1 20:48:04,8.000,0.010,0.000,438279.000,5278.000,1568528.000,169468.000,1171624.000,2.000,1.000
Tue Mar  1 20:48:05,8.000,0.010,0.000,438278.000,5278.000,1568528.000,169468.000,1171624.000,2.000,0.000
Tue Mar  1 20:48:06,8.000,0.010,0.000,438278.000,5277.000,1568528.000,169468.000,1171624.000,2.000,1.000
Tue Mar  1 20:48:07,8.000,0.010,0.000,438278.000,5278.000,1568528.000,169468.000,1171624.000,2.000,0.000
Tue Mar  1 20:48:08,8.000,0.010,0.000,438278.000,5278.000,1568528.000,169468.000,1171624.000,2.000,0.000
Tue Mar  1 20:48:09,8.000,0.010,0.000,438278.000,5278.000,1568528.000,169468.000,1171624.000,2.000,1.000
