Time,kernel.all.cpu.sys,kernel.all.load["1 minute"],network.tcp.retranssegs,network.interface.out.bytes["eth0"],network.interface.in.bytes["eth0"],mem.util.used,mem.util.free,mem.util.cached,disk.dev.read["sda"],disk.dev.write["sda"]
none,millisec / second,none,count / second,byte / second,byte / second,Kbyte,Kbyte,Kbyte,count / second,count / second
Tue Mar  1 22:02:00,?,0.000,?,?,?,1626288.000,111708.000,1200116.000,?,?
Tue Mar  1 22:02:01,10.000,0.000,0.000,1066.000,897.000,1626288.000,111708.000,1200116.000,0.000,1.000
Tue Mar  1 22:02:02,10.000,0.000,0.000,961.000,810.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:03,6.000,0.000,0.000,110.000,87.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:04,6.000,0.000,0.000,111.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:05,6.000,0.000,0.000,110.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:06,6.000,0.000,0.000,111.000,87.000,1626288.000,111708.000,1200120.000,0.000,2.000
Tue Mar  1 22:02:07,6.000,0.000,0.000,110.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:08,6.000,0.000,0.000,110.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:09,6.000,0.000,0.000,111.000,87.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:10,6.000,0.000,0.000,110.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:11,6.000,0.000,0.000,111.000,88.000,1626288.000,111708.000,1200120.000,0.000,1.000
Tue Mar  1 22:02:12,16.000,0.000,0.000,102.000,79.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:13,5.000,0.000,0.000,34.000,11.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:14,5.000,0.000,0.000,35.000,10.000,1626724.000,111272.000,1200108.000,0.000,0.000
Tue Mar  1 22:02:15,5.000,0.000,0.000,35.000,11.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:16,5.000,0.000,0.000,34.000,11.000,1626724.000,111272.000,1200108.000,0.000,0.000
Tue Mar  1 22:02:17,5.000,0.000,0.000,35.000,10.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:18,5.000,0.000,0.000,35.000,11.000,1626724.000,111272.000,1200108.000,0.000,0.000
Tue Mar  1 22:02:19,5.000,0.000,0.000,35.000,10.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:20,5.000,0.000,0.000,34.000,11.000,1626724.000,111272.000,1200108.000,0.000,0.000
Tue Mar  1 22:02:21,5.000,0.000,0.000,35.000,11.000,1626724.000,111272.000,1200108.000,0.000,1.000
Tue Mar  1 22:02:22,5.000,0.000,0.000,32.000,10.000,1626724.000,111272.000,1200120.000,0.000,0.000
Tue Mar  1 22:02:23,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,3.000
Tue Mar  1 22:02:24,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,2.000
Tue Mar  1 22:02:25,5.000,0.000,0.000,6.000,6.000,1626724.000,111272.000,1200120.000,0.000,3.000
Tue Mar  1 22:02:26,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,2.000
Tue Mar  1 22:02:27,5.000,0.000,0.000,6.000,7.000,1626724.000,111272.000,1200120.000,0.000,3.000
Tue Mar  1 22:02:28,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,2.000
Tue Mar  1 22:02:29,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,3.000
Tue Mar  1 22:02:30,5.000,0.000,0.000,6.000,6.000,1626724.000,111272.000,1200120.000,0.000,2.000
Tue Mar  1 22:02:31,5.000,0.000,0.000,5.000,6.000,1626724.000,111272.000,1200120.000,0.000,3.000
Tue Mar  1 22:02:32,5.000,0.000,0.000,211045.000,2407.000,1626724.000,111272.000,1200124.000,0.000,2.000
Tue Mar  1 22:02:33,10.000,0.000,0.000,1947641.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:34,10.000,0.000,0.000,1947641.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:35,10.000,0.000,0.000,1947640.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:36,10.000,0.000,0.000,1947641.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:37,10.000,0.000,0.000,1947640.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:38,10.000,0.000,0.000,1947641.000,22155.000,1626724.000,111272.000,1200124.000,0.000,0.000
Tue Mar  1 22:02:39,10.000,0.000,0.000,1947640.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:40,10.000,0.000,0.000,1947641.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:41,10.000,0.000,0.000,1947640.000,22155.000,1626724.000,111272.000,1200124.000,0.000,1.000
Tue Mar  1 22:02:42,9.000,0.000,0.000,1794045.000,20486.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:43,4.000,0.000,0.000,535726.000,6807.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:44,4.000,0.000,0.000,535727.000,6808.000,1626724.000,111272.000,1200128.000,0.000,0.000
Tue Mar  1 22:02:45,4.000,0.000,0.000,535727.000,6807.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:46,4.000,0.000,0.000,535727.000,6808.000,1626724.000,111272.000,1200128.000,0.000,0.000
Tue Mar  1 22:02:47,4.000,0.000,0.000,535726.000,6808.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:48,4.000,0.000,0.000,535727.000,6807.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:49,4.000,0.000,0.000,535727.000,6808.000,1626724.000,111272.000,1200128.000,0.000,0.000
Tue Mar  1 22:02:50,4.000,0.000,0.000,535727.000,6808.000,1626724.000,111272.000,1200128.000,0.000,1.000
Tue Mar  1 22:02:51,4.000,0.000,0.000,535727.000,6807.000,1626724.000,111272.000,1200128.000,0.000,0.000
Tue Mar  1 22:02:52,5.000,0.000,0.000,542570.000,6771.000,1626724.000,111272.000,1200132.000,0.000,1.000
Tue Mar  1 22:02:53,11.000,0.000,0.000,598613.000,6466.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:02:54,11.000,0.000,0.000,598613.000,6467.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:02:55,11.000,0.000,0.000,598613.000,6466.000,1626724.000,111272.000,1200132.000,0.000,1.000
Tue Mar  1 22:02:56,11.000,0.000,0.000,598612.000,6466.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:02:57,11.000,0.000,0.000,598613.000,6467.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:02:58,11.000,0.000,0.000,598613.000,6466.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:02:59,11.000,0.000,0.000,598612.000,6467.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:03:00,11.000,0.000,0.000,598613.000,6466.000,1626724.000,111272.000,1200132.000,0.000,1.000
Tue Mar  1 22:03:01,11.000,0.000,0.000,598613.000,6466.000,1626724.000,111272.000,1200132.000,0.000,0.000
Tue Mar  1 22:03:02,11.000,0.000,0.000,596260.000,6531.000,1626724.000,111272.000,1200140.000,0.000,0.000
Tue Mar  1 22:03:03,6.000,0.000,0.000,577002.000,7057.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:04,6.000,0.000,0.000,577001.000,7056.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:05,6.000,0.000,0.000,577001.000,7057.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:06,6.000,0.000,0.000,577001.000,7057.000,1626724.000,111272.000,1200140.000,0.000,1.000
Tue Mar  1 22:03:07,6.000,0.000,0.000,577002.000,7056.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:08,6.000,0.000,0.000,577001.000,7057.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:09,6.000,0.000,0.000,577001.000,7057.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:10,6.000,0.000,0.000,577002.000,7056.000,1626724.000,111272.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:11,6.000,0.000,0.000,577001.000,7057.000,1626724.000,111272.000,1200140.000,0.000,1.000
Tue Mar  1 22:03:12,16.000,0.000,0.000,584158.000,7019.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:13,5.000,0.000,0.000,660600.000,6892.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:14,5.000,0.000,0.000,660600.000,6892.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:15,5.000,0.000,0.000,660599.000,6892.000,1626404.000,111592.000,1200140.000,0.000,1.000
Tue Mar  1 22:03:16,5.000,0.000,0.000,660600.000,6892.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:17,5.000,0.000,0.000,660600.000,6893.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:18,5.000,0.000,0.000,660599.000,6892.000,1626404.000,111592.000,1200140.000,0.000,1.000
Tue Mar  1 22:03:19,5.000,0.000,0.000,660600.000,6892.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:20,5.000,0.000,0.000,660599.000,6892.000,1626404.000,111592.000,1200140.000,0.000,2.000
Tue Mar  1 22:03:21,5.000,0.000,0.000,660600.000,6893.000,1626404.000,111592.000,1200140.000,0.000,1.000
