TS,Buffer,Freezing,QoE1,QoE2,Representation,Response,Server,ChunkID
1457226001.709366,4.951109886169434,0,3.1328723669441603,1.2657447338883203,2,0.04882311820983887,104.155.17.18,0
1457226002.001163,9.659312963485718,0,4.9999536060530145,4.999907212106029,9,0.29170799255371094,104.155.17.18,1
1457226002.269734,14.390742063522339,0,4.9999536060530145,4.999907212106029,9,0.2684450149536133,104.155.17.18,2
1457226002.534789,19.12568688392639,0,4.9999536060530145,4.999907212106029,9,0.26496100425720215,104.155.17.18,3
1457226003.101085,23.559391021728516,0,4.9999536060530145,4.999907212106029,9,0.5661728382110596,104.155.17.18,4
1457226003.509452,28.151023864746094,0,4.9999536060530145,4.999907212106029,9,0.40828514099121094,104.155.17.18,5
1457226006.749219,29.911257028579712,0,4.9999536060530145,4.999907212106029,9,0.0852668285369873,104.155.17.18,6
1457226011.693092,29.967383861541748,0,4.9999536060530145,4.999907212106029,9,0.02742600440979004,104.155.17.18,7
1457226016.694432,29.966043949127197,0,4.9999536060530145,4.999907212106029,9,0.028701066970825195,104.155.17.18,8
1457226021.754147,29.906328916549683,0,4.9999536060530145,4.999907212106029,9,0.0884089469909668,104.155.17.18,9
1457226026.776747,29.883728981018066,0,4.9999536060530145,4.999907212106029,9,0.11106204986572266,104.155.17.18,10
1457226031.688547,29.97192907333374,0,4.9999536060530145,4.999907212106029,9,0.022909879684448242,104.155.17.18,11
1457226036.708925,29.95155096054077,0,4.9999536060530145,4.999907212106029,9,0.04322409629821777,104.155.17.18,12
1457226041.762139,29.89833688735962,0,4.9999536060530145,4.999907212106029,9,0.09646201133728027,104.155.17.18,13
1457226046.721002,29.939473867416382,0,4.9999536060530145,4.999907212106029,9,0.05536007881164551,104.155.17.18,14
1457226052.081548,29.578927993774414,0,4.9999536060530145,4.999907212106029,9,0.41585493087768555,104.155.17.18,15
1457226056.696559,29.963917016983032,0,4.9999536060530145,4.999907212106029,9,0.03122401237487793,104.155.17.18,16
1457226061.690668,29.969807863235474,0,4.9999536060530145,4.999907212106029,9,0.024960994720458984,104.155.17.18,17
1457226066.706805,29.953670978546143,0,4.9999536060530145,4.999907212106029,9,0.04115104675292969,104.155.17.18,18
1457226071.698986,29.96148991584778,0,4.9999536060530145,4.999907212106029,9,0.033332109451293945,104.155.17.18,19
1457226076.737978,29.922497987747192,0,4.9999536060530145,4.999907212106029,9,0.07222700119018555,104.155.17.18,20
1457226081.739434,29.92104196548462,0,4.9999536060530145,4.999907212106029,9,0.07377004623413086,104.155.17.18,21
1457226086.796535,29.863940954208374,0,4.9999536060530145,4.999907212106029,9,0.1309211254119873,104.155.17.18,22
1457226092.08549,29.57498598098755,0,4.9999536060530145,4.999907212106029,9,0.4199209213256836,104.155.17.18,23
1457226096.785088,29.8753879070282,0,4.9999536060530145,4.999907212106029,9,0.1197359561920166,104.155.17.18,24
